UNIQ_NUTRIENTS_COMPOUNDS
(-)-6-HYDROXY-MELLEIN
(-)-6-METHOXY-MELLEIN
(-)-ARCTIGENIN|ARCTIGENIN
(-)-CATECHIN
(-)-Epicatechin
(-)-EPICATECHIN
(-)-Epicatechin 3-O-gallate
(-)-EPICATECHIN|EPICATECHIN
(-)-EPICATECHIN|EPICATECHIN|L-EPICATECHIN
(-)-EPICATECHIN-3-GALLATE
(-)-EPICATECHIN-3-O-GALLATE
(-)-EPICATECHIN-GALLATE
(-)-Epigallocatechin
(-)-EPIGALLOCATECHIN
(-)-Epigallocatechin 3-O-gallate
(-)-EPIGALLOCATECHIN|EPIGALLOCATECHIN
(-)-GALLOCATECHIN
(-)-KAUR-16-EN-19-OIC-ACID
(-)-MALIC-ACID-DIBUTYRATE
(-)-PELLETIERINE
(-)-QUERBRACHITOL
(-)-SALSOLINOL
(+)-ABSCISIC-ACID
(+)-Catechin
(+)-CATECHIN
(+)-Catechin 3-O-gallate
(+)-CATECHIN|CATECHIN
(+)-CATECHIN|D-CATECHIN
(+)-CATECHIN-5-O-GLUCOSIDE
(+)-CATECHIN-7-O-BETA-D-XYLOPYRANOSIDE
(+)-CYCLO-OLIVIL
(+)-EPICATECHIN
(+)-Gallocatechin
(+)-GALLOCATECHIN
(+)-Gallocatechin 3-O-gallate
(+)-GALLOCATECHIN-(4-ALPHA-8)-CATECHIN
(+)-GALLOCATECHIN-(4-ALPHA-8)-GALLOCATECHIN
(+)-GALLOCATECHIN|GALLOCATECHIN
(+)-HARDWICKIIC ACID
(+)-LIMONENE
(+)-MARMESIN|MARMESIN
(+)-RETICULINE
(+)-SPATHULENOL
(11S)-11,13-DIHYDROLACTUCIN|11(S),13-DIHYDROLACTUCIN
(11S)-11,13-DIHYDROLACTUCOPICRIN|11(S),13-DIHYDROLACTUCOPICRIN
(24R)-4,14,24-TRIMETHYL-5ALPHA-CHOLESTA-8,25(27)-DIEN-3-BETA-OL
(24S)-14ALPHA,24-DIMETHYL-9BETA,19-CYCLO-5ALPHA-CHOLEST-25EN-3BETA-OL
(24S)-24-METHYL-25-DEHYDROCHOLESTEROL
(25S)-BAROGENIN
(4E,6E)-4,6-TETRADECADIEN-8,10,12-TRIYN-1,3-DIYL-DIACETATE|(4E,6E,12E)-4,6,12-TETRADECADIEN-8,10,12-TRIYN-1,3-DIYL-DIAC
