,food,ALPHA-TOCOPHEROL,AMYLOSE,ASCORBATE|ASCORBIC-ACID,ASCORBIC-ACID,BIOTIN,CALCIUM,CARBOHYDRATE,CARBOHYDRATES,CARBOHYDRATE|CARBOHYDRATES,CHLORIDE,CHROMIUM,COPPER,FAT,FLUORIDE,HISTIDINE,IODINE,IRON,ISOLEUCINE,ISOLINOLEIC-ACID,LEUCINE,LYSINE,MAGNESIUM,MANGANESE,METHIONINE,MOLYBDENUM,NIACIN,NIACIN|NICOTINIC-ACID,PANTOTHENIC-ACID,PHENYLALANINE,PHOSPHORUS,POTASSIUM,PROLINE,PROTEIN,PROTEIN|PROTEINS,PYRIDOXINE,PYRIDOXINE|VIT-B-6,RIBOFLAVIN,RIBOFLAVIN|VITAMIN-B-2,SELENIUM,SODIUM,STARCH,SUCROSE,SUCROSE|SUGAR,SUGAR,SUGARS,THIAMIN,THIAMINE,THIAMIN|THIAMINE,THIAMIN|VITAMIN-B-1,THREONINE,TOCOPHEROL,TOCOPHEROLS,TRYPTOPHAN,VALINE,VIT-B-6,VIT-E,VITAMIN-B-6,VITAMIN-K-1,ZINC
12,Ben Nut,0.0,0,0.0,561.25,0.0,1007.25,0,46354.25,0,0.0,0.0,0.4,12800.25,0.0,918.5,0.07,16.5,2113.5,0.0,3706.5,2516.5,535.25,0.0,576.5,0.0,7.85,0.0,0.0,2282.0,351.75,2742.75,2113.5,32161.25,0,0.0,0.0,1.815,0.0,0.0,199.0,0.0,0.0,0,0,0.0,0.825,0.0,0.0,0.0,1926.0,0.0,29.6,674.5,2863.0,3.3,0.0,0.0,0.0,0.0
13,Bilberry,0.0,0,0.0,165.0,0.0,154.0,0,0.0,0,0.0,0.008,0.63,31000.0,0.0,0.0,0.0,15.3,0.0,0.0,0.0,0.0,70.0,143.5,0.0,0.0,0.0,0.0,0.0,0.0,138.5,846.0,0.0,12900.0,0,0.0,0.0,0.3,0.0,0.0,5.0,0.0,0.0,0,0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
14,Black Currant,12.0,0,0.0,138.0,0.0,472.0,0,85205.0,0,0.0,0.027,0.7,16648.85,0.0,0.0,0.0,10.8,2.8,0.0,2.8,0.0,172.0,2.7,0.0,0.06,1.7,0.0,2.2,0.0,350.0,2111.0,9.8,11517.0,0,0.0,0.0,0.3,0.0,0.0,11.1,0.0,0.0,0,0,10640.0,0.3,0.0,0.0,0.0,1.7,0.0,0.0,0.0,17.0,0.4,0.0,0.0,1.01,2.1
15,Black Elder,0.0,0,0.0,0.0,0.0009,0.0,0,0.0,0,0.0,0.0,0.0,8560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,14700.0,0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,5800,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Black Walnut,0.0,0,0.0,0.0,0.0,187.9,0,48700.0,0,0.0,0.5,1.9,33200.0,0.0,0.0,0.01,26.4,0.0,0.0,0.0,0.0,111.7,2.7,0.0,0.04,0.7,0.0,0.0,0.0,347.6,1002.7,0.0,9800.0,21200,0.0,0.0,0.1,0.0,0.002,8.05,0.0,0.0,0,0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6
17,Blueberry,11.6,0,0.0,87.8,0.0,40.0,0,91813.0,0,0.0,0.0,0.4,2509.0,0.0,71.5,0.0,1.1,136.5,0.0,260.0,78.0,33.2,2.0,71.5,0.0,2.4,0.0,0.6,156.0,67.5,585.9,162.4,4472.0,0,0.0,0.0,0.34,0.0,0.0,41.4,0.0,0.0,0,0,0.0,0.31,0.0,0.0,0.0,117.0,0.0,0.0,19.5,182.0,0.25,0.0,0.0,0.0,0.7
18,Brazillian Guava,0.0,0,0.0,175.0,0.0,73.1,0,0.0,0,0.0,0.0,0.0,1250.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,1037.5,0.0,5625.0,0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0,37500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Brazilnut,0.0,0,0.0,0.7,0.0,182.0,0,13242.9,0,0.0,0.06,1.8,70000.0,0.0,415.9,0.02,9.3,621.8,0.0,1228.1,559.7,337.0,0.8,1034.6,0.0,1.7,0.0,0.3,771.8,675.0,645.0,788.4,15310.0,0,0.0,0.0,0.1,0.0,49.7,2.0,0.0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,475.9,8.0,0.0,269.0,942.5,0.3,0.0,0.0,0.0,5.3
20,Breadfruit,0.0,0,0.0,63.0,0.0,138.75,0,79972.5,0,0.0,0.0,0.75,8120.0,0.0,473.5,0.0,6.0,217.5,0.0,754.25,714.65,97.5,0.35,126.75,0.0,3.0,0.0,1.775,955.5,342.25,1670.0,844.0,12892.0,0,0.0,0.0,0.39999999999999997,0.0,0.0,9.8,0.0,0.0,0,0,0.0,0.7,0.0,0.0,0.0,528.5,0.0,0.0,281.5,691.75,0.0,0.0,0.0,0.0,0.8
21,Breadroot,0.0,0,0.0,17.1,0.0,510.0,0,0.0,0,0.0,0.0,0.0,3680.0,0.0,126.6,0.0,3.9,130.8,0.0,244.8,274.3,140.0,0.0,25.3,0.0,0.0,0.0,0.0,122.4,50.0,280.0,126.6,42200.0,0,0.0,0.0,0.0,0.0,0.0,0.0,69840.0,0.0,0,0,5600.0,0.0,0.0,0.0,0.0,147.7,0.0,0.0,63.3,173.0,0.0,0.0,0.0,0.0,0.0
