,food,ALPHA-TOCOPHEROL,AMYLOSE,ASCORBATE|ASCORBIC-ACID,ASCORBIC-ACID,BIOTIN,CALCIUM,CARBOHYDRATE,CARBOHYDRATES,CARBOHYDRATE|CARBOHYDRATES,CHLORIDE,CHROMIUM,COPPER,FAT,FLUORIDE,HISTIDINE,IODINE,IRON,ISOLEUCINE,ISOLINOLEIC-ACID,LEUCINE,LYSINE,MAGNESIUM,MANGANESE,METHIONINE,MOLYBDENUM,NIACIN,NIACIN|NICOTINIC-ACID,PANTOTHENIC-ACID,PHENYLALANINE,PHOSPHORUS,POTASSIUM,PROLINE,PROTEIN,PROTEIN|PROTEINS,PYRIDOXINE,PYRIDOXINE|VIT-B-6,RIBOFLAVIN,RIBOFLAVIN|VITAMIN-B-2,SELENIUM,SODIUM,STARCH,SUCROSE,SUCROSE|SUGAR,SUGAR,SUGARS,THIAMIN,THIAMINE,THIAMIN|THIAMINE,THIAMIN|VITAMIN-B-1,THREONINE,TOCOPHEROL,TOCOPHEROLS,TRYPTOPHAN,VALINE,VIT-B-6,VIT-E,VITAMIN-B-6,VITAMIN-K-1,ZINC
50,Garland Chrysanthemum,0.0,0,0.0,456.5,0.0,860.75,0,54753.25,0,0.0,0.0,0.0,3450.25,0.0,0.0,0.0,40.25,0.0,0.0,0.0,0.0,228.5,0.0,0.0,0.0,10.35,0.0,0.0,0.0,476.5,5806.5,0.0,24330.25,0,0.0,0.0,2.95,0.0,0.0,1164.5,0.0,0.0,0,0,0.0,0.9099999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,Gooseberry,0.0,0,0.0,239.7,0.0,412.2,0,83923.9,0,0.0,0.008,0.6,12390.75,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,93.8,1.6,0.0,0.0,2.5,0.0,2.4,0.0,266.5,2083.0,0.0,8491.3,0,0.0,0.0,0.2,0.0,0.0,8.2,1500.0,0.0,0,0,10250.0,0.3,0.0,0.0,0.0,0.0,5.6,0.0,0.0,0.0,0.7,0.0,0.0,0.0,1.6
52,Granado (Sp.),0.0,0,0.0,63.6,0.0,65.0,0,92700.0,0,0.0,0.0,0.2,11900.0,0.03,0.0,0.0,1.6,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,5.0,0.0,3.1,0.0,318.2,1895.0,0.0,4900.0,0,0.0,0.0,0.4,0.0,0.0,35.0,0.0,0.0,0,0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
53,Groundnut,10.25,0,0.0,237.4,0.0,1798.9666666666665,0,59566.666666666664,0,0.0,0.008,1.1,21661.133333333335,0.0,801.3,0.0,11.85,1068.0,0.0,2065.3,1062.7,540.5,3.0,343.0,0.0,12.8,0.0,3.0,1571.5,602.0666666666667,1259.05,1536.2,24733.333333333332,0,0.0,0.0,1.5050000000000001,0.0,0.002,26.0,0.0,0.0,0,0,0.0,1.4,0.0,0.0,0.0,957.0,0.0,0.0,332.1,1243.7,0.37,0.0,0.0,0.0,3.5
54,Guava,0.0,0,0.0,0.0,0.0,158.2,0,85536.0,0,0.0,0.0,0.9,8206.666666666666,0.0,50.4,0.0,2.4,216.0,0.0,396.0,165.6,73.5,1.2,36.0,0.0,8.6,0.0,1.1,14.4,190.5,2165.8,180.0,10550.0,0,0.0,0.0,0.4,0.0,0.0,24.6,13200.0,0.0,0,0,0.0,0.4,0.0,0.0,0.0,223.2,0.0,0.0,50.4,201.6,1.0,0.0,0.0,0.0,2.0
55,Indian Tamarind,0.0,0,0.0,48.26666666666667,0.0,742.225,79125,0.0,0,0.0,0.0,2.1,5425.0,0.0,0.0,0.0,8.9,0.0,0.0,0.0,202.6,102.55,0.0,20.4,0.0,5.3,0.0,0.2,0.0,212.45,1336.3,0.0,16675.0,0,0.2,0.0,0.4666666666666666,0.0,0.0,44.800000000000004,0.0,0.0,0,0,0.0,0.5666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,26.2,0.0,0.0,0.0,0.0,0.0,0.0
56,Jackfruit,0.0,0,0.0,43.5,0.0,138.4,0,84515.0,0,0.0,0.0,0.7,973.25,0.0,0.0,0.0,2.35,0.0,0.0,0.0,0.0,138.0,0.7,0.0,0.0,1.5,0.0,0.0,0.0,220.5,1512.5,0.0,10984.5,0,0.0,0.0,0.4,0.0,0.0,15.0,0.0,0.0,0,0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,1.6
57,Jerusalem Artichoke,0.0,0,0.0,30.6,0.0,960.0,0,84700.0,0,0.0,0.0,3.0,500.0,0.0,190.6,0.0012,16.8,314.5,0.0,438.4,428.8,180.0,22.8,85.8,0.0,6.4,0.0,0.0,266.8,520.0,3970.0,257.3,13200.0,0,0.0,0.0,0.3,0.0,0.0,240.0,26260.0,0.0,0,51650,0.0,1.0,0.0,0.0,0.0,343.1,0.0,0.0,181.1,409.8,0.0,0.0,0.0,0.0,6.4
58,Jew's Mallow,0.0,0,0.0,408.0,0.0,1836.5,0,63300.0,0,0.0,0.0,0.0,8417.5,0.0,895.0,0.0,48.5,1800.0,0.0,3158.0,1782.5,520.0,0.0,529.0,0.0,10.2,0.0,0.0,1725.0,675.5,4550.0,2005.2,37850.0,0,0.0,0.0,4.4,0.0,0.0,75.5,0.0,0.0,0,0,0.0,1.08,0.0,0.0,0.0,1335.0,0.0,0.0,400.0,2018.5,5.0,0.0,0.0,0.0,0.0
59,Kiwi,0.0,0,0.0,637.0,0.0,191.0,0,87790.0,0,0.0,0.0,0.0,3840.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,177.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,306.0,1960.0,0.0,6283.0,0,0.0,0.0,0.3,0.0,0.0,29.5,0.0,0.0,0,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,Kohlrabi,0.0,0,0.0,689.0,0.0,266.5,0,68890.0,0,0.0,0.0,0.0,1111.0,0.0,211.1,0.0,4.4,866.7,0.0,744.5,622.2,211.0,0.0,144.5,0.0,4.4,0.0,1.8,433.3,511.0,3889.0,0.0,18890.0,0,0.0,0.0,0.22,0.0,0.0,222.2,0.0,0.0,0,0,0.0,0.55,0.0,0.0,0.0,544.5,0.0,0.0,111.0,555.5,1.7,0.0,0.0,0.0,0.0
61,Lambsquarter,0.0,0,0.0,900.0,0.0,1840.0,0,50000.0,0,0.0,0.0,0.5,6798.0,0.0,738.9,0.0,12.75,1611.6,0.0,2229.5,2255.0,292.0,2.1,312.1,0.067,5.55,0.0,0.0,1057.4,2049.65,8710.0,1420.5,23300.0,0,0.0,0.0,3.9,0.0,0.0,25.0,0.0,0.0,0,0,0.0,0.6,0.0,0.0,0.0,1038.3,0.0,0.0,242.1,1439.6,0.0,0.0,0.0,0.0,2.4
62,Lemon,0.0,0,0.0,556.6,0.0,322.7,0,86300.0,0,0.0,0.0,0.0,21400.0,0.0,0.0,0.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.9,1470.0,0.0,11100.0,0,0.0,0.0,0.3,0.0,0.0,47.0,0.0,0.0,0,0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,Lettuce,13.9,0,0.0,300.0,0.0,1914.0,0,58333.3,0,0.0,2.0,2.9,5000.0,0.0,366.7,0.0,17.6,1400.0,0.0,1316.7,1400.0,870.0,24.0,266.7,0.2,6.7,0.0,3.3,916.7,1392.0,12180.0,800.0,21666.7,0,0.0,0.0,0.0,0.0,0.0058,1856.0,0.0,0.0,0,6500,0.0,0.83,0.0,0.0,0.0,983.3,0.0,0.0,150.0,1166.7,0.92,0.0,0.0,0.0,97.4
64,Lime,0.0,0,0.0,444.4,0.0,308.4,0,89590.0,0,0.0,0.0,0.6,2670.0,0.0,0.0,0.0,6.7,0.0,0.0,0.0,119.0,0.0,0.0,17.0,0.0,2.9,0.0,1.8,0.0,200.0,953.3,0.0,6500.0,0,0.0,0.0,0.2,0.0,0.0,22.2,0.0,0.0,0,0,1740.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,25.5,0.0,0.0,0.0,0.0,0.0,0.9
65,Loquat,0.0,0,0.0,84.0,0.0,1214.05,0,91900.0,0,0.0,0.0,0.7,25000.0,0.0,0.0,0.0,13.35,0.0,0.0,0.0,0.0,248.0,22.4,0.0,0.0,2.5,0.0,0.0,0.0,266.7,2156.6,0.0,5600.0,0,0.0,0.0,0.42,0.0,0.0,20.7,0.0,0.0,0,0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8
66,Macadamia,0.0,0,0.0,0.0,0.0,107.5,0,15900.0,0,0.0,0.0,0.3,77500.0,0.0,173.0,0.0,20.0,251.0,0.0,475.0,333.0,119.0,0.0,95.0,0.0,2.2,0.0,0.0,267.5,175.0,378.5,407.5,9200.0,0,0.0,0.0,0.1,0.0,0.0,5.0,0.0,0.0,0,0,0.0,0.4,0.0,0.0,0.0,270.5,0.0,0.0,0.0,330.0,0.0,0.0,0.0,0.0,1.8
67,Malanga,0.0,0,0.0,0.0,0.0,1090.0,0,76450.0,0,0.0,0.0,1.4,5605.0,0.0,0.0,0.0,19.6,0.0,0.0,0.0,0.0,263.5,1.13,0.0,0.0,2.0,0.0,0.0,0.0,2155.8,3910.0,0.0,15500.0,0,0.0,0.0,0.09,0.0,0.0,47.0,80564.0,0.0,0,0,1787.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9
68,Mamey,0.0,0,0.0,151.5,0.0,98.5,0,91700.0,0,0.0,0.0,0.0,6827.5,0.0,0.0,0.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,92.5,340.5,0.0,4615.0,0,0.0,0.0,0.38,0.0,0.0,108.5,0.0,5500.0,0,0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,Mandarin,3.1,0,0.0,368.4,0.0,307.7,0,90191.4,0,0.0,0.008,0.48,2200.0,0.0,354.6,0.0,7.9,137.0,0.0,129.0,257.9,141.6,0.46,104.8,0.0,3.5,0.0,1.6,169.3,138.5,1312.7,249.9,8022.8,0,0.0,0.0,0.4,0.0,0.0,15.4,0.0,0.0,0,0,11360.0,0.8,0.0,0.0,0.0,80.6,0.0,0.0,48.4,217.6,0.5,0.0,0.0,0.0,0.8
70,Mango,0.0,0,0.0,209.5,0.0,1535.0,0,73469.5,0,0.0,0.0,1.66,5396.333333333333,0.0,120.0,0.0016,15.25,200.0,0.0,295.0,320.0,87.5,1.22,55.0,0.0,8.15,0.0,0.88,370.0,242.5,947.5,200.0,7766.666666666667,0,0.0,0.0,0.30000000000000004,0.0,0.0,14.3,72800.0,12580.0,0,0,10785.0,0.26,0.0,0.0,0.0,225.0,0.0,0.0,70.0,270.0,0.73,0.0,0.0,0.0,1.14
71,Mangosteen,0.0,0,0.0,25.5,0.0,63.7,0,96000.0,0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,68.5,856.0,0.0,3428.5,0,0.0,0.0,0.13,0.0,0.0,6.4,0.0,0.0,0,0,96000.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,Maracuya,0.0,0,0.0,120.5,0.0,99.5,0,85100.0,0,0.0,0.0,0.0,13300.0,0.0,0.0,0.0,12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,448.5,1397.5,0.0,9950.0,0,0.0,0.0,0.5,0.0,0.0,112.4,0.0,0.0,0,0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,Mountain Yam,0.0,0,0.0,14.0,0.0,140.0,0,87877.0,0,0.0,0.0,0.0,539.0,0.0,161.5,0.0,2.4,242.5,0.0,452.5,280.0,79.2,0.0,97.0,0.0,2.9,0.0,0.0,334.0,183.0,2535.0,258.5,7220.0,0,0.0,0.0,0.1,0.0,0.0,75.0,0.0,0.0,0,0,0.0,0.7,0.0,0.0,0.0,253.0,0.0,0.0,59.5,291.0,0.0,0.0,0.0,0.0,0.0
74,Mustard Greens,0.0,0,0.0,0.0,0.0,556.5,0,0.0,0,0.0,0.0,1.4,25900.0,0.0,0.0,0.0,17.4,0.0,0.0,0.0,0.0,383.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30760.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5
75,Nance,0.0,0,0.0,927.5,0.0,192.0,0,83721.0,0,0.0,0.0,0.0,7558.0,0.0,0.0,0.0,11.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,5232.5,0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,New Zealand Spinach,0.0,0,0.0,500.0,0.0,966.5,0,41666.5,0,0.0,0.0,0.0,3333.5,0.0,0.0,0.0,13.3,0.0,0.0,0.0,0.0,650.0,0.0,0.0,0.0,8.5,0.0,5.0,0.0,466.5,2166.5,0.0,25000.0,0,0.0,0.0,2.0,0.0,0.0,2166.5,0.0,0.0,0,0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,Olive,11.9,0,0.0,0.0,0.0,729.9,0,52000.0,0,0.0,0.0,0.0,25425.0,0.0,0.0,0.0,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,252.3,0.0,9466.666666666666,0,0.0,0.0,0.0,0.0,0.0,11009.2,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,Onion,3.0,0,0.0,385.15,0.0,419.65,0,70050.0,0,0.0,0.44,1.46,5653.95,0.0,207.1,0.0,26.866666666666664,457.8,0.0,446.9,610.4,123.0,2.87,109.0,0.23,8.25,0.0,1.6,327.0,477.54999999999995,2216.4,403.3,19650.0,0,0.0,0.0,1.5,0.0,0.0003,205.2,0.0,14590.0,0,0,0.0,0.62,0.0,0.0,0.0,305.2,0.0,0.0,185.3,294.3,1.8,0.0,0.0,0.0,4.35
79,Orange,2.9,0,0.0,407.1,0.0,561.5,0,88712.5,0,0.0,0.0385,0.55,1600.0,0.0,135.9,0.0,0.8,188.8,0.0,113.6,354.8,107.5,0.8,151.0,0.0385,0.0,0.0,1.9,234.0,198.0,1377.2,347.3,7800.0,0,0.0,0.0,0.3,0.0,0.0002,2.9,0.0,4700.0,0,0,11980.0,0.7,0.0,0.0,0.0,113.2,0.0,0.0,68.0,302.0,0.5,0.0,0.0,0.0,1.3
80,Papaya,0.0,0,0.0,0.0,0.0,1329.6,0,56733.333333333336,0,0.0,0.0,0.5,10875.0,0.0,44.8,0.0,3.8,71.6,0.0,143.2,223.8,105.8,0.11,17.9,0.0,6.300000000000001,0.0,1.9,80.6,378.55,2722.3500000000004,89.5,19168.5,0,0.0,0.0,1.2,0.0,0.0,63.25,0.0,0.0,0,0,0.0,0.4,0.0,0.26,0.0,98.5,0.0,0.0,71.6,89.5,0.17,0.0,0.0,0.0,0.54
81,Parsnip,0.0,0,0.0,83.0,0.0,352.5,0,90200.0,0,0.0,0.01,1.2,15600.0,0.0,0.0,0.0,11.2,0.0,0.0,0.0,0.0,210.0,3.3,0.0,0.05,3.4,0.0,2.9,0.0,736.5,4000.0,0.0,12000.0,0,0.0,0.0,0.4,0.0,0.0,57.5,0.0,0.0,0,0,0.0,1.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.0,7.0
82,Peach,8.6,0,0.0,112.7,0.0,491.0,0,91000.0,0,0.0,1.8625,2.0,23700.0,0.0,105.3,0.0,9.866666666666667,162.0,0.0,324.0,186.3,296.0,3.1166666666666667,137.7,0.105,8.2,0.0,1.4,178.2,257.5,1616.0666666666666,234.9,18750.0,0,0.0,0.0,0.4,0.0,0.0003,19.75,3600.0,10000.0,0,0,0.0,0.2,0.0,0.0,0.0,218.7,0.0,0.0,16.2,307.8,0.16,0.0,0.0,0.0,3.425
83,Pear,3.1,0,0.0,25.0,0.0,177.6,0,93329.2,0,0.0,0.0555,1.11,3219.8,0.0,24.7,0.0,3.7,67.9,0.0,123.5,86.5,111.0,0.555,30.9,0.026,0.6,0.0,0.4,0.0,133.2,1125.0,67.9,2540.0,0,0.0,0.0,0.24,0.0,0.0001,40.7,0.0,0.0,0,0,0.0,0.12,0.0,0.0,0.0,61.8,0.0,0.0,0.0,86.5,0.11,0.0,0.0,0.0,2.66
84,Pineapple,0.7,0,0.0,417.8,0.0,130.8,0,93800.0,0,0.0,0.0,0.88,4277.2,0.0,66.7,0.1,7.3,96.3,0.0,140.7,185.2,107.5,20.9,81.5,0.0,3.3,0.0,1.1,88.9,92.3,993.2,96.3,5500.0,0,0.0,0.0,0.3,0.0,0.0,18.0,1.9,15000.0,0,0,0.0,0.7,0.0,0.0,0.0,85.9,0.0,0.0,0.0,118.5,0.6,0.0,0.0,0.0,0.6
85,Pinyon Pine,0.0,0,0.0,2.1,0.0,11.7,0,20510.0,0,0.0,0.0,1.2,64803.5,0.0,294.5,0.0,3.7,478.0,0.0,886.5,461.5,265.0,0.0,220.0,0.0,4.6,0.0,0.0,471.0,59.0,785.3,661.0,0.0,0,0.0,0.0,0.3,0.0,0.0,86.0,0.0,0.0,0,0,0.0,1.3,0.0,0.0,0.0,390.0,0.0,0.0,155.0,625.5,0.0,0.0,0.0,0.0,5.0
86,Pistachio,5.4,0,0.0,0.0,0.0,146.4,0,25808.8,0,0.0,0.06,3.3,56700.0,0.0,557.6,5.1,13.7,1014.3,0.0,1744.5,1329.5,164.4,0.34,396.3,0.0,1.5,0.0,0.0,1231.7,528.0,1149.3,985.1,22210.2,0,0.0,0.0,0.0,0.0,0.01,53.8,0.0,3260.0,0,0,0.0,0.0,0.0,0.0,0.0,751.1,0.0,0.0,294.4,1468.8,0.0,0.0,0.0,0.0,3.0
87,Pitanga,0.0,0,0.0,211.5,0.0,64.0,0,92700.0,0,0.0,0.0,0.0,3263.75,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,81.5,0.0,0.0,6259.0,0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,Plum,6.2,0,0.0,69.9,0.0,204.0,0,87905.4,0,0.0,0.119,3.4,23162.15,0.0,87.8,0.0,8.5,108.1,0.0,141.9,114.9,340.0,2.55,40.5,0.17,3.4,0.0,1.3,114.9,408.0,4420.0,229.7,12850.0,0,0.0,0.0,0.65,0.0,0.0013,5.4,0.0,0.0,20000,0,0.0,0.29,0.0,0.0,0.0,108.1,0.0,0.0,0.0,128.4,0.6,0.0,0.0,0.0,13.1
89,Pokeweed,0.0,0,0.0,1618.4,0.0,630.7,0,44100.0,0,0.0,0.0,0.0,4800.0,0.0,0.0,0.0,20.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.3,0.0,0.0,0.0,523.8,0.0,0.0,31100.0,0,0.0,0.0,3.9,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,Pomarrosa,0.0,0,0.0,238.5,0.0,204.5,0,96666.5,0,0.0,0.0,0.06,1935.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,3.4,0.0,0.0,0.0,85.2,322.5,0.0,4516.0,0,0.0,0.0,0.17,0.0,0.0,220.0,0.0,0.0,0,0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,Potato,0.28,0,0.0,99.0,0.0,255.0,86200,0.0,0,0.0,0.14,1.4,900.0,0.0,214.0,0.0011,12.8,570.0,0.0,710.0,680.0,425.0,2.2,156.8,0.21,0.0,0.0,1.8,555.0,420.0,3000.0,670.0,12700.0,0,0.0,0.0,0.0,0.19,0.001,32.3,80000.0,0.0,0,0,0.0,0.0,0.0,0.0,0.5,430.0,0.0,0.0,225.0,645.0,0.0,0.0,0.0,0.0,4.41
92,Quince,0.0,0,0.0,96.0,0.0,80.5,0,95100.0,0,0.0,0.0,0.0,10450.0,0.0,0.0,0.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,104.9,1216.0,0.0,300.0,0,0.0,0.0,0.19,0.0,0.0,24.7,0.0,0.0,0,0,9600.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,Radish,0.0,0,0.0,702.6999999999999,0.0,1037.5,0,65133.333333333336,0,0.0,0.014,0.7,17475.0,0.0,252.0,0.0,24.025,581.5,0.0,717.0,678.5,376.5,3.0,135.5,0.0,15.83333333333333,0.0,1.8,445.5,632.8333333333334,4039.325,349.0,26550.0,0,0.0,0.0,1.2866666666666668,0.0,0.0,380.35,0.0,0.0,0,0,0.0,0.82,0.0,0.0,0.0,562.0,0.0,0.0,77.5,620.0,1.45,0.0,0.0,0.0,5.05
94,Raspberry,5.6,0,0.0,198.5,0.0,1210.0,0,79000.0,0,0.0,1.3,0.0,12850.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,319.0,8.2,0.0,0.0,0.0,0.0,0.0,0.0,234.0,1340.0,0.0,11300.0,0,0.0,0.0,0.0,0.0,0.0,7.7,0.0,0.0,0,0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,Red Currant,5.9,0,0.0,255.4,0.0,287.5,0,85974.0,0,0.0,0.0125,0.7,13123.0,0.0,0.0,0.0,6.8,0.0,0.0,0.0,0.0,93.5,1.5,0.0,0.06,0.6,0.0,0.4,0.0,331.0,2125.0,0.0,8722.0,0,0.0,0.0,0.3,0.0,0.0,7.2,0.0,150.0,0,0,8320.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,1.6
96,Rhubarb,64.3,0,0.0,220.70000000000002,0.0,1643.1,0,72850.0,0,0.0,0.01,0.52,4850.0,0.0,0.0,0.0,20.2,0.0,0.0,0.0,0.0,197.5,3.5,0.0,0.01,4.5,0.0,1.33,0.0,346.7,6640.0,0.0,19550.0,0,0.0,0.0,0.85,0.0,0.0,85.5,0.0,0.0,0,0,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6
97,Sallow Thorn,0.0,0,0.0,870.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,6730.0,0.0,0.0,0.0,0.0,0.0,2509.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14650.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0,0.0
98,Salsify,0.0,0,0.0,49.1,0.0,261.0,0,88800.0,0,0.0,0.0,0.1,3915.0,0.0,0.0,0.0,6.7,0.0,0.0,0.0,0.0,100.0,1.2,0.0,0.0,2.2,0.0,0.0,0.0,326.2,1696.4,0.0,16027.5,0,0.0,0.0,1.0,0.0,0.0,87.0,0.0,0.0,0,0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
99,Sapodilla,0.0,0,0.0,62.5,0.0,130.0,0,92300.0,0,0.0,0.0,0.0,4400.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,53.0,874.5,0.0,2000.0,0,0.0,0.0,0.04,0.0,0.0,14.5,6400.0,8750.0,0,0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,Sarson,18.9,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.28,0.6,0.0,0.0,0.0,0.0,9.3,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5
101,Sour Cherry,0.94,0,0.0,87.3,0.0,195.4,0,87696.0,0,0.0,0.0,0.0,4800.0,0.0,0.0,0.0,7.8,0.0,0.0,0.0,0.0,64.8,0.8,0.0,0.0,3.2,0.0,1.0,0.0,230.2,1927.7,0.0,10300.0,0,0.0,0.0,0.5,0.0,0.0,21.6,0.0,0.0,0,0,10440.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
102,Soursop,0.0,0,0.0,154.0,0.0,260.0,0,0.0,0,0.0,0.0,0.16,12250.0,0.0,0.0,0.0,3.3,0.0,0.0,0.0,318.0,240.0,0.27,37.0,0.0,7.7,0.0,1.3,0.0,340.0,3600.0,0.0,13715.0,0,0.0,0.0,0.6,0.0,0.0,103.5,0.0,0.0,0,0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,58.5,0.0,0.3,0.0,0.0,0.0,0.4
103,Spinach,41.9,0,759.5,0.0,0.0,1570.0,0,41566.0,0,0.0,0.042,2.4,4667.2,0.0,760.1,0.02,38.4,1745.8,0.0,2648.3,2066.4,1100.0,48.5,629.4,0.08,8.98,0.0,0.87,1532.0,623.2,6907.7,1330.1,35295.4,0,0.0,0.0,2.34,0.0,0.0057,1066.9,0.0,0.0,0,0,0.0,1.02,0.0,0.0,0.0,1448.9,0.0,0.0,463.2,1912.0,2.4,0.0,0.0,0.0,18.5
104,Strawberry Guava,0.0,0,0.0,210.0,0.0,340.0,0,93900.0,0,0.0,0.0,0.0,3300.0,0.0,26.0,0.0,8.2,108.5,0.0,201.5,82.5,88.0,0.0,20.5,0.0,3.8,0.0,0.0,5.0,230.5,1588.0,93.0,5500.0,0,0.0,0.0,0.19,0.0,0.0,191.5,0.0,0.0,0,0,0.0,0.19,0.0,0.0,0.0,114.0,0.0,0.0,26.0,103.5,0.0,0.0,0.0,0.0,0.0
