db_name,my_name
6-PROPYLTRIDECANE,NA
7-METHYLUNDECENE,NA
ACETALDEHYDE,NA
ACETIC-ACID,NA
ACETIC-ACID-HEXYL-ESTER|HEXAN-1-0L,NA
ACIDS,NA
ALKALOID,NA
ALKALOIDS,NA
ALLIOFUROSIDE-A,NA
ALLIOSPIROSIDE-A,NA
ALLIOSPIROSIDE-B,NA
ALLIOSPIROSIDE-C,NA
ALLIOSPIROSIDE-D,NA
ALPHA-ALANINE,NA
ALPHA-ALPHA-P-TRIMETHYL-BENZYL-ALCOHOL-ETHER,NA
ALPHA-BERGAMOTENE,NA
ALPHA-BERGAMOTENE|BERGAMOTENE,NA
ALPHA-BISABOLENE,NA
ALPHA-CAROTENE,NA
ALPHA-CARYOPHYLLENE|ALPHA-HUMULENE,NA
ALPHA-COPAENE,NA
ALPHA-HUMULENE,NA
ALPHA-HUMULENE|HUMULENE,NA
ALPHA-KETO-GLUTARIC-ACID,NA
ALPHA-LINOLENIC-ACID,NA
ALPHA-LINOLENIC-ACID|LINOLENIC-ACID,NA
ALPHA-P-DIMETHYL-STYRENE,NA
ALPHA-PHELLANDRENE,NA
ALPHA-PINENE,NA
ALPHA-SELINENE,NA
ALPHA-SINENSAL|ALPHA-SINESAL,NA
ALPHA-TERPINENE,NA
ALPHA-TERPINEOL,NA
ALPHA-TERPINYL-ACETATE,NA
ALPHA-THUJENE,NA
ALPHA-VINIFERIN,NA
ALPHA-YLANGENE,NA
ALUMINUM,NA
AMMONIA,NA
AMMONIA(NH3),NA
AMMONIA|NH3,NA
AMYGDALIN,NA
ANGELICIN,NA
ANILINE,NA
ANONAINE,NA
ANTHOCYANIN,NA
ANTHOCYANINS,NA
ANTIMONY,NA
ARABINOSE,NA
ARABINOSE-HEXAHYDROXYDIPHENYL-ACID-ESTER,NA
ARACHIC-ACID,NA
ARACHIDIC-ACID,NA
ARACHIDONIC-ACID,NA
ARBUTIN,NA
ARCTIC-ACID-C,NA
ARCTIGENIN,NA
ARCTIGNAN-A,NA
ARCTIGNAN-B,NA
ARCTIGNAN-C,NA
ARCTIGNAN-D,NA
ARCTIGNAN-E,NA
ARCTIIN,NA
ARCTINAL,NA
ARCTINOL-A,NA
ARCTINOL-B,NA
ARCTINONE-A,NA
ARGININE,NA
ARSENIC,NA
ASARONE,NA
ASCORBIGEN,NA
ASPARAGINE,NA
ASPARTIC-ACID,NA
ATROPINE,NA
AURAXANTHIN,NA
BARIUM,NA
BEHENIC-ACID,NA
BENZALDEHYDE,NA
BENZOIC-ACID,NA
BENZOIC-ACID-4-O-BETA-D-GLUCOSIDE,NA
BENZYL-ALCOHOL,NA
BENZYL-AMINE,NA
BERGAMOTENE,NA
BERGAPTEN,NA
BETA-ALANINE,NA
BETA-BETA-CAROTENE|BETA-CAROTENE,NA
BETA-BISABOLENE,NA
BETA-CARYOPHYLLENE,NA
BETA-CARYOPHYLLENE|CARYOPHYLLENE,NA
BETA-CRYPTOXANTHIN|CRYPTOXANTHIN,NA
BETA-CUBEBENE,NA
BETA-ELEMENE,NA
BETA-EUDESMOL,NA
BETA-FARNESENE,NA
BETA-HUMULENE,NA
BETAINE,NA
BETA-IONONE,NA
BETA-MYRCENE|MYRCENE,NA
BETA-PHELLANDRENE,NA
BETA-PINENE,NA
BETA-SELINENE,NA
BETA-SESQUIPHELLANDRENE,NA
BETA-SINESAL,NA
BETA-SITOSTEROL,NA
BETA-TERPINEOL,NA
BETULIC-ACID|BETULINIC-ACID,NA
BETULIN,NA
BETULINIC-ACID,NA
BIPHENYL,NA
BORIC-ACID,NA
BORNEOL,NA
BORNYL-ACETATE,NA
BORON,NA
BRASSICASTEROL,NA
BREVILAGIN-I,NA
BROMINE,NA
BUTAN-1-OL,NA
BUTAN-2-OL,NA
BUTANEDIONE,NA
BUTANOIC-ACID,NA
CADMIUM,NA
CAFFEIC-ACID,NA
CAFFEINE,NA
CAMPESTANOL,NA
CAMPESTEROL,NA
CAMPHENE,NA
CAOUTCHOUC,NA
CAPRIC-ACID,NA
CAPRIC-ACID|DECANOIC-ACID,NA
CAPRIFOLIC-ACID,NA
CAPROIC-ACID,NA
CAPROIC-ACID|HEXANOIC-ACID,NA
CAPRYLIC-ACID,NA
CAPRYLIC-ACID|OCTANOIC-ACID,NA
CAPSAICIN,NA
CAPSIAMIDE|N-(13-METHYLTETRADECYL)ACETAMIDE,NA
CAPSIANOSIDE-A|CAPSIANSIDE-A,NA
CAPSIANOSIDE-B,NA
CAPSIANOSIDE-C,NA
CAPSIANOSIDE-D,NA
CAPSIANOSIDE-E,NA
CAPSIANOSIDE-F,NA
CAPSIANOSIDE-I,NA
CAPSIANOSIDE-II,NA
CAPSIANOSIDE-III,NA
CAPSIANOSIDE-IV,NA
CAPSIANOSIDE-V,NA
CAPSICOSIDE-A-1,NA
CAPSICOSIDE-B-1,NA
CAPSICOSIDE-C-1,NA
CAPSIDIOL,NA
CAR-6-ENE,NA
CARBONATE,NA
